Time,Latitude,Longitude,Accuracy,Speed
1568580483,35.271773,-97.485516,5,31.58
1568580484,35.272055,-97.485512,5,31.440001
1568580485,35.272345,-97.485517,5,31.559999
1568580486,35.272627,-97.485516,5,31.360001
1568580487,35.272919,-97.485525,5,31.57
1568580488,35.273198,-97.485533,5,31.549999
1568580489,35.273484,-97.485538,5,31.66
1568580490,35.273768,-97.485532,5,31.709999
1568580491,35.274055,-97.485526,5,32.040001
1568580492,35.274339,-97.485523,5,32.23
1568580493,35.274624,-97.485538,5,32.330002
1568580494,35.274916,-97.485529,5,32.68
1568580495,35.275204,-97.485534,5,32.57
1568580496,35.275502,-97.485534,5,32.950001
1568580497,35.27581,-97.48554,5,32.98
1568580498,35.276112,-97.485532,5,33.209999
1568580499,35.276425,-97.485532,5,33.330002
1568580500,35.276718,-97.485518,5,33.139999
1568580501,35.277014,-97.485492,5,33.23
1568580502,35.277299,-97.485435,5,33.290001
1568580503,35.27761,-97.485389,5,33.34
1568580504,35.277888,-97.485278,5,33.150002
1568580505,35.278183,-97.485167,5,33.009998
1568580506,35.278456,-97.485059,5,32.59
1568580507,35.278735,-97.484943,5,32.369999
1568580508,35.279013,-97.484823,5,32.130001
1568580509,35.279289,-97.484715,5,31.68
1568580510,35.279574,-97.48461,5,32.009998
1568580511,35.279855,-97.484502,5,32.330002
1568580512,35.280158,-97.484402,5,32.330002
1568580513,35.280444,-97.484317,5,32.09
1568580514,35.280739,-97.484249,5,32.799999
1568580515,35.281025,-97.484219,5,32.849998
1568580516,35.281316,-97.484201,5,32.970001
1568580517,35.281599,-97.484185,5,32.970001
1568580518,35.281913,-97.48421,5,32.98
1568580519,35.282208,-97.484273,5,32.82
1568580520,35.282497,-97.484333,5,32.529999
1568580521,35.282772,-97.484406,5,32.16
1568580522,35.283063,-97.484505,5,31.91
1568580523,35.283343,-97.484599,5,31.57
1568580524,35.283612,-97.484699,5,31.57
1568580525,35.283891,-97.484807,5,31.67
1568580526,35.284158,-97.484923,5,31.690001
1568580527,35.28444,-97.485023,5,31.75
1568580528,35.284706,-97.485124,5,31.91
1568580529,35.284965,-97.485219,5,32.009998
1568580530,35.285246,-97.485336,5,32.400002
1568580531,35.285522,-97.485423,5,32.57
1568580532,35.285791,-97.485524,5,32.900002
1568580533,35.286106,-97.485649,5,33
1568580534,35.286399,-97.485739,5,33.18
1568580535,35.286675,-97.485837,5,33.360001
1568580536,35.28697,-97.485953,5,33.66
1568580537,35.287261,-97.486063,5,33.689999
1568580538,35.287559,-97.486176,5,33.720001
1568580539,35.287852,-97.486285,5,34.07
1568580540,35.288143,-97.486392,5,34.18
1568580541,35.288432,-97.486498,5,34.060001
1568580542,35.288729,-97.486616,5,34.5
1568580543,35.289032,-97.48672,5,34.68
1568580544,35.289326,-97.486818,5,34.860001
1568580545,35.28963,-97.486934,5,35.099998
1568580546,35.289928,-97.487042,5,35.18
1568580547,35.290243,-97.487147,5,35.220001
1568580548,35.290549,-97.487258,5,35.330002
1568580549,35.290849,-97.487372,5,35.43
1568580550,35.291157,-97.487485,5,35.43
1568580551,35.291434,-97.487595,5,35.849998
1568580552,35.291766,-97.487718,5,35.580002
1568580553,35.292068,-97.487815,5,35.290001
1568580554,35.292378,-97.487934,5,35.18
1568580555,35.292679,-97.488056,5,35.23
1568580556,35.29299,-97.488168,5,35.150002
1568580557,35.293291,-97.488271,5,35.009998
1568580558,35.293587,-97.48838,5,35.169998
1568580559,35.2939,-97.488498,5,35.439999
1568580560,35.29421,-97.48861,5,35.810001
1568580561,35.294518,-97.488709,5,35.880001
1568580562,35.294831,-97.488805,5,36.200001
1568580563,35.295159,-97.488924,5,36.5
1568580564,35.295466,-97.489038,5,36.669998
1568580565,35.295791,-97.489145,5,36.98
1568580566,35.296109,-97.489252,5,37.209999
1568580567,35.296439,-97.489345,5,37.41
1568580568,35.296766,-97.489446,5,37.540001
1568580569,35.2971,-97.489529,5,37.580002
1568580570,35.297437,-97.489598,5,37.639999
1568580571,35.297768,-97.489661,5,38.139999
1568580572,35.298092,-97.489707,5,37.09
1568580573,35.298421,-97.489758,5,36.580002
1568580574,35.298746,-97.489796,5,36.32
1568580575,35.299072,-97.48983,5,36.389999
1568580576,35.299389,-97.48984,5,36.139999
1568580577,35.299715,-97.489839,5,36.130001
1568580578,35.300057,-97.489839,10,36.130001
1568580579,35.300383,-97.489822,5,36.889999
1568580580,35.300731,-97.489813,5,37.16
1568580581,35.301081,-97.489807,5,37.380001
1568580582,35.301412,-97.489813,5,37.34
1568580583,35.301748,-97.489819,5,37.209999
1568580584,35.302083,-97.489818,5,37.209999
1568580585,35.302399,-97.489816,5,37.040001
1568580586,35.302733,-97.489814,5,37.169998
1568580587,35.303068,-97.489827,5,36.810001
1568580588,35.303392,-97.489827,5,36.41
1568580589,35.303732,-97.489833,5,36.099998
1568580590,35.304042,-97.489818,5,35.459999
1568580591,35.304349,-97.489822,5,35.25
1568580592,35.304652,-97.489826,5,34.970001
1568580593,35.304973,-97.489826,5,34.959999
1568580594,35.305328,-97.489827,10,36.220001
1568580595,35.305667,-97.489819,10,36.57
1568580596,35.305994,-97.489822,10,36.549999
1568580597,35.306227,-97.489831,5,33.490002
1568580598,35.306519,-97.489836,5,33.029999
1568580599,35.306815,-97.48983,5,32.799999
1568580600,35.307112,-97.489841,5,32.259998
1568580601,35.307404,-97.489857,5,31.950001
1568580602,35.307694,-97.489858,5,31.950001
1568580603,35.30797,-97.489856,5,31.41
1568580604,35.308221,-97.489858,5,30.959999
1568580605,35.3085,-97.489859,5,30.959999
1568580606,35.308777,-97.489859,5,30.799999
1568580607,35.309071,-97.489851,5,30.58
1568580608,35.30934,-97.489849,5,30.790001
1568580609,35.309636,-97.489847,5,30.82
1568580610,35.30991,-97.489848,5,30.84
1568580611,35.310181,-97.48984,5,30.91
1568580612,35.310468,-97.489842,5,30.879999
1568580613,35.310737,-97.489846,5,30.83
1568580614,35.311014,-97.489851,5,30.879999
1568580615,35.311286,-97.489861,5,30.67
1568580616,35.311572,-97.489852,5,31.07
1568580617,35.311844,-97.489855,5,30.98
1568580618,35.312121,-97.489853,5,30.98
1568580619,35.312398,-97.489852,5,30.99
1568580620,35.312675,-97.489851,5,30.99
1568580621,35.312958,-97.489852,5,31.040001
1568580622,35.313241,-97.489852,5,31.040001
1568580623,35.313508,-97.489846,5,30.950001
1568580624,35.313787,-97.489847,5,30.950001
1568580625,35.314059,-97.489846,5,30.969999
1568580626,35.314333,-97.489846,5,30.879999
1568580627,35.314608,-97.489847,5,30.870001
1568580628,35.314883,-97.489849,5,30.969999
1568580629,35.315181,-97.489848,5,31.059999
1568580630,35.315454,-97.489867,5,30.860001
1568580631,35.315734,-97.489868,5,30.860001
1568580632,35.315996,-97.489881,5,30.84
1568580633,35.316285,-97.489895,5,30.85
1568580634,35.316571,-97.489886,5,30.780001
1568580635,35.316854,-97.489886,5,30.780001
1568580636,35.317121,-97.489877,5,30.530001
1568580637,35.317407,-97.489867,5,30.870001
1568580638,35.317683,-97.489856,5,30.82
1568580639,35.317961,-97.489852,5,30.809999
1568580640,35.318234,-97.489864,5,30.82
1568580641,35.318511,-97.489855,5,30.809999
1568580642,35.318789,-97.489854,5,30.809999
1568580643,35.319079,-97.48986,5,30.950001
1568580644,35.319326,-97.489865,5,30.83
1568580645,35.319611,-97.489875,5,30.93
1568580646,35.31989,-97.489875,5,30.940001
1568580647,35.32016,-97.489876,5,30.940001
1568580648,35.32045,-97.489883,5,31.219999
1568580649,35.320737,-97.489883,5,31.559999
1568580650,35.320977,-97.489874,5,30.59
1568580651,35.321286,-97.489873,5,31.49
1568580652,35.321569,-97.48988,5,31.27
1568580653,35.32184,-97.489886,5,31.389999
1568580654,35.322122,-97.489886,10,31.389999
1568580655,35.32241,-97.489877,5,31.32
1568580656,35.322693,-97.489878,5,31.32
1568580657,35.322991,-97.489887,5,31.34
1568580658,35.323282,-97.489887,5,31.34
1568580659,35.323561,-97.489886,5,31.309999
1568580660,35.323845,-97.489885,5,31.299999
1568580661,35.324116,-97.489882,5,30.969999
1568580662,35.324394,-97.489886,5,31.08
1568580663,35.324653,-97.489891,5,31.01
1568580664,35.324935,-97.489891,5,31.01
1568580665,35.325214,-97.48989,5,30.98
1568580666,35.325497,-97.489891,5,30.969999
1568580667,35.325783,-97.489896,5,31.040001
1568580668,35.326063,-97.489892,5,31.09
1568580669,35.326344,-97.489892,5,31.08
1568580670,35.326626,-97.48988,5,30.950001
1568580671,35.326907,-97.48988,5,30.950001
1568580672,35.327186,-97.489878,5,30.889999
1568580673,35.32746,-97.489873,5,30.790001
1568580674,35.327737,-97.489866,5,30.799999
1568580675,35.328014,-97.489882,5,30.77
1568580676,35.328277,-97.489887,5,30.790001
1568580677,35.328564,-97.489887,5,30.790001
1568580678,35.328848,-97.48989,5,30.99
1568580679,35.329133,-97.48989,5,31.110001
1568580680,35.329413,-97.489874,5,30.92
1568580681,35.329689,-97.489863,5,30.76
1568580682,35.329958,-97.489861,5,30.76
1568580683,35.330252,-97.489873,5,30.91
1568580684,35.330531,-97.489873,5,30.9
1568580685,35.33082,-97.489862,5,30.92
1568580686,35.331101,-97.489863,5,30.91
1568580687,35.331383,-97.489873,5,30.950001
1568580688,35.331657,-97.489873,5,30.799999
1568580689,35.331927,-97.489871,5,30.65
1568580690,35.332206,-97.489864,5,30.83
1568580691,35.332482,-97.489849,5,30.74
1568580692,35.332754,-97.489865,5,30.719999
1568580693,35.333028,-97.489891,5,30.76
1568580694,35.333305,-97.489908,5,30.76
1568580695,35.333577,-97.489938,5,30.799999
1568580696,35.333853,-97.489966,5,30.790001
1568580697,35.334106,-97.490006,5,30.379999
1568580698,35.33438,-97.49007,5,30.950001
1568580699,35.334661,-97.490139,5,31.42
1568580700,35.334944,-97.490215,5,31.450001
1568580701,35.335213,-97.490303,5,30.879999
1568580702,35.335497,-97.490379,5,30.9
1568580703,35.335781,-97.490461,5,31.120001
1568580704,35.336049,-97.490568,5,30.91
1568580705,35.336324,-97.490677,5,30.98
1568580706,35.336575,-97.490784,5,30.780001
1568580707,35.336841,-97.490902,5,30.48
1568580708,35.337089,-97.491012,5,30.49
1568580709,35.337347,-97.491113,5,30.309999
1568580710,35.337604,-97.491212,5,30.190001
1568580711,35.337857,-97.491315,5,30.059999
1568580712,35.338116,-97.491416,5,30.07
1568580713,35.338375,-97.491517,5,30.17
1568580714,35.33863,-97.491619,5,30.17
1568580715,35.338887,-97.491721,5,30.25
1568580716,35.339141,-97.491839,5,30.450001
1568580717,35.339401,-97.491935,5,30.48
1568580718,35.339666,-97.492047,5,30.73
1568580719,35.339914,-97.492142,5,30.530001
1568580720,35.340179,-97.492229,5,31.02
1568580721,35.340444,-97.49234,5,31.139999
1568580722,35.340706,-97.492458,5,31.18
1568580723,35.340977,-97.492561,5,31.27
1568580724,35.341242,-97.49267,5,31.32
1568580725,35.341514,-97.492791,5,31.33
1568580726,35.341792,-97.492916,5,31.41
1568580727,35.342065,-97.49303,5,31.389999
1568580728,35.342336,-97.493139,5,31.49
1568580729,35.342601,-97.493252,5,31.299999
1568580730,35.342873,-97.493364,5,31.389999
1568580731,35.343145,-97.493475,5,31.139999
1568580732,35.343416,-97.493588,5,31.059999
1568580733,35.343697,-97.493689,5,31.02
1568580734,35.343963,-97.493794,10,31.02
1568580735,35.344253,-97.493892,5,30.790001
1568580736,35.344522,-97.493986,5,31.360001
1568580737,35.344782,-97.494083,5,31.43
1568580738,35.345053,-97.494158,5,31.530001
1568580739,35.345329,-97.494214,5,31.459999
1568580740,35.345601,-97.494282,5,31.27
1568580741,35.345874,-97.494338,5,31.02
1568580742,35.346152,-97.494403,5,30.91
1568580743,35.346428,-97.494453,5,30.73
1568580744,35.346697,-97.494488,5,30.49
1568580745,35.346954,-97.494513,5,30.110001
1568580746,35.34724,-97.494537,5,30.389999
1568580747,35.347513,-97.494549,5,30.24
1568580748,35.347789,-97.494568,5,30.059999
1568580749,35.348058,-97.494581,5,29.950001
1568580750,35.348329,-97.494588,5,29.809999
1568580751,35.348603,-97.494596,5,29.75
1568580752,35.348871,-97.4946,5,29.75
1568580753,35.349144,-97.494601,5,29.43
1568580754,35.349414,-97.494601,5,29.42
1568580755,35.349677,-97.49461,5,29.290001
1568580756,35.349943,-97.494611,5,29.290001
1568580757,35.350193,-97.494606,5,29.209999
1568580758,35.350481,-97.494604,5,29.34
1568580759,35.350757,-97.4946,5,29.34
1568580760,35.351017,-97.494597,5,29.27
1568580761,35.351277,-97.494598,5,29.26
1568580762,35.351543,-97.494603,5,29.52
1568580763,35.351807,-97.494604,10,29.52
1568580764,35.352038,-97.494608,5,29.18
1568580765,35.35231,-97.494616,5,29.860001
1568580766,35.352591,-97.494617,5,30.059999
1568580767,35.352871,-97.494606,5,30.27
1568580768,35.353144,-97.49461,5,30.370001
1568580769,35.353415,-97.494612,5,30.370001
1568580770,35.353702,-97.494618,5,30.5
1568580771,35.35398,-97.49462,5,30.5
1568580772,35.354243,-97.494626,5,30.309999
1568580773,35.354539,-97.494631,5,30.82
1568580774,35.354813,-97.494628,5,30.83
1568580775,35.355092,-97.494626,5,30.93
1568580776,35.355379,-97.494624,5,31.139999
1568580777,35.355675,-97.494632,5,31.110001
1568580778,35.355958,-97.494635,5,31.120001
1568580779,35.356224,-97.494633,5,31.139999
1568580780,35.356463,-97.494642,5,30.73
1568580781,35.356739,-97.494646,5,30.719999
1568580782,35.357034,-97.494643,5,31.24
1568580783,35.357328,-97.49464,5,31.120001
1568580784,35.357609,-97.494649,5,31.299999
1568580785,35.357888,-97.494648,5,31.780001
1568580786,35.358178,-97.494656,5,32.48
1568580787,35.358484,-97.494663,5,33.18
1568580788,35.358783,-97.494671,5,33.41
1568580789,35.359093,-97.494692,5,34.669998
1568580790,35.3594,-97.494704,5,35.419998
1568580791,35.359734,-97.494707,5,35.82
1568580792,35.360065,-97.494705,5,35.880001
1568580793,35.360382,-97.494714,5,35.75
1568580794,35.360699,-97.494718,5,35.580002
1568580795,35.36102,-97.494722,5,35.580002
1568580796,35.361333,-97.494728,5,34.709999
1568580797,35.361645,-97.494724,5,34.049999
1568580798,35.361948,-97.494736,5,33.529999
1568580799,35.36224,-97.494755,5,32.900002
1568580800,35.362533,-97.494755,5,31.74
1568580801,35.362816,-97.49475,5,30.34
1568580802,35.36308,-97.494754,5,29.41
1568580803,35.363345,-97.494765,5,29.129999
1568580804,35.363607,-97.494766,5,28.93
1568580805,35.363865,-97.49477,5,28.92
1568580806,35.364118,-97.494764,5,28.66
1568580807,35.36437,-97.494769,5,28.77
1568580808,35.36463,-97.494769,5,29.1
1568580809,35.364895,-97.494774,10,29.1
1568580810,35.36518,-97.494783,5,29.530001
1568580811,35.365417,-97.494793,5,29.92
1568580812,35.365698,-97.494801,5,30.17
1568580813,35.365968,-97.494795,5,30.530001
1568580814,35.366232,-97.4948,5,30.799999
1568580815,35.36652,-97.494801,5,30.82
1568580816,35.366797,-97.4948,5,30.940001
1568580817,35.367058,-97.494822,5,30.950001
1568580818,35.36735,-97.49482,5,30.93
1568580819,35.367635,-97.49482,5,30.690001
1568580820,35.367896,-97.494811,5,30.42
1568580821,35.36816,-97.494808,5,29.959999
1568580822,35.368433,-97.494818,5,29.58
1568580823,35.368704,-97.494832,5,29.110001
1568580824,35.36896,-97.494836,5,28.700001
1568580825,35.369228,-97.494837,5,28.26
1568580826,35.369469,-97.494843,5,27.92
1568580827,35.369719,-97.494856,5,27.200001
1568580828,35.369965,-97.494859,5,27.190001
1568580829,35.370203,-97.494863,5,27.27
1568580830,35.37046,-97.494854,5,27.219999
1568580831,35.370699,-97.494856,5,27.24
1568580832,35.370943,-97.494859,5,27.24
1568580833,35.371189,-97.494874,5,27.610001
1568580834,35.371442,-97.494876,5,27.76
1568580835,35.3717,-97.494883,5,27.9
1568580836,35.371957,-97.494882,5,28.110001
1568580837,35.372198,-97.494891,5,28.450001
1568580838,35.372468,-97.494896,5,28.719999
1568580839,35.372717,-97.494892,5,28.84
1568580840,35.372977,-97.494893,5,28.92
1568580841,35.37324,-97.494893,5,29.08
1568580842,35.373493,-97.494896,5,29.07
1568580843,35.373751,-97.494887,5,29.030001
1568580844,35.374014,-97.494892,5,29.040001
1568580845,35.374289,-97.494896,5,29.02
1568580846,35.374554,-97.494907,5,29.139999
1568580847,35.374812,-97.494909,5,29.139999
1568580848,35.375063,-97.494911,5,29.379999
1568580849,35.375329,-97.494911,5,29.530001
1568580850,35.375596,-97.494912,5,29.530001
1568580851,35.37586,-97.494922,5,29.370001
1568580852,35.376124,-97.494927,5,28.91
1568580853,35.376384,-97.494933,5,28.4
1568580854,35.376636,-97.494944,5,28.209999
1568580855,35.376881,-97.494948,5,28.110001
1568580856,35.377135,-97.49495,5,28.110001
1568580857,35.377402,-97.494949,5,28.49
1568580858,35.37766,-97.49496,5,28.879999
1568580859,35.377921,-97.494963,5,28.879999
1568580860,35.378195,-97.49496,5,29.540001
1568580861,35.378462,-97.494961,5,29.540001
1568580862,35.378738,-97.49496,5,30.18
1568580863,35.379009,-97.494961,10,30.18
1568580864,35.379304,-97.494964,10,31.040001
1568580865,35.379593,-97.494967,10,31.879999
1568580866,35.379882,-97.494968,10,31.940001
1568580867,35.380179,-97.494959,10,32.07
1568580868,35.380455,-97.494972,10,31.940001
1568580869,35.380751,-97.494973,10,32.23
1568580870,35.381015,-97.494969,10,32.060001
1568580871,35.381306,-97.494972,10,32.07
1568580872,35.381605,-97.49497,5,32.110001
1568580873,35.381908,-97.494975,5,32.470001
1568580874,35.382193,-97.494977,5,32.48
1568580875,35.382501,-97.494972,5,33.119999
1568580876,35.382816,-97.494978,5,33.66
1568580877,35.383125,-97.494977,5,33.860001
1568580878,35.383437,-97.494983,10,34.34
1568580879,35.383743,-97.49498,10,34.169998
1568580880,35.384049,-97.494983,10,34.18
1568580881,35.384327,-97.494998,10,33.220001
1568580882,35.384626,-97.495003,10,33.23
1568580883,35.384874,-97.495005,5,32.48
1568580884,35.385178,-97.494995,5,32.23
1568580885,35.385435,-97.494992,5,32
1568580886,35.385719,-97.494981,5,31.940001
1568580887,35.385997,-97.494999,5,32.049999
1568580888,35.386199,-97.495,5,32.09
1568580889,35.386546,-97.495002,5,32.27
1568580890,35.38684,-97.495,5,32.57
1568580891,35.387111,-97.494999,5,32.41
1568580892,35.38741,-97.494992,5,32.98
1568580893,35.387714,-97.494988,5,33.110001
1568580894,35.388006,-97.494977,5,33.099998
1568580895,35.388304,-97.494978,5,33.09
1568580896,35.388609,-97.494974,5,33.23
1568580897,35.388908,-97.494974,5,33.23
1568580898,35.389206,-97.494972,5,33.099998
1568580899,35.389504,-97.494972,10,33.099998
1568580900,35.389765,-97.494973,5,33.060001
1568580901,35.390063,-97.494973,5,33.049999
1568580902,35.390375,-97.494988,5,32.93
1568580903,35.390672,-97.49499,5,32.919998
1568580904,35.39097,-97.494967,5,32.990002
1568580905,35.391296,-97.494978,5,33.459999
1568580906,35.391598,-97.494979,5,33.459999
1568580907,35.391903,-97.494966,5,33.41
1568580908,35.392204,-97.494966,5,33.400002
1568580909,35.392508,-97.494966,5,33.59
1568580910,35.392799,-97.494967,5,33.299999
1568580911,35.393078,-97.494977,5,33.369999
1568580912,35.393382,-97.494977,5,33.349998
1568580913,35.393668,-97.494977,5,33.32
1568580914,35.393976,-97.495,5,33.369999
1568580915,35.394273,-97.495008,5,33.310001
1568580916,35.394576,-97.495005,5,33.43
1568580917,35.394872,-97.494995,5,33.490002
1568580918,35.395163,-97.494999,5,33.330002
1568580919,35.39547,-97.495002,5,33.330002
1568580920,35.395771,-97.495016,5,33.259998
1568580921,35.396088,-97.495016,5,33.41
1568580922,35.396374,-97.495015,5,33.41
1568580923,35.396689,-97.495011,5,33.549999
1568580924,35.396991,-97.49501,10,33.540001
1568580925,35.397304,-97.495007,5,33.779999
1568580926,35.397611,-97.495005,5,34.110001
1568580927,35.397926,-97.495005,5,34.470001
1568580928,35.398237,-97.495005,10,34.470001
1568580929,35.398558,-97.494997,10,34.84
1568580930,35.398871,-97.494994,10,34.84
1568580931,35.399138,-97.495017,5,32.330002
1568580932,35.399429,-97.495024,5,32.32
1568580933,35.399713,-97.495016,5,31.74
1568580934,35.399996,-97.495015,5,31.280001
1568580935,35.400272,-97.495011,5,30.780001
1568580936,35.400557,-97.495014,5,30.389999
1568580937,35.400831,-97.495008,5,30.34
1568580938,35.401108,-97.495012,5,30.58
1568580939,35.401393,-97.49501,5,30.889999
1568580940,35.401674,-97.495004,5,30.889999
1568580941,35.401949,-97.494966,5,31.889999
1568580942,35.402244,-97.494934,5,32.349998
1568580943,35.402564,-97.4949,5,32.84
1568580944,35.402867,-97.49485,5,33.369999
1568580945,35.403113,-97.494812,5,33.369999
1568580946,35.403475,-97.494734,5,33.439999
1568580947,35.403768,-97.49468,5,33.740002
1568580948,35.404069,-97.494609,5,33.82
1568580949,35.404372,-97.494521,5,34.200001
1568580950,35.404656,-97.494426,5,33.66
1568580951,35.404953,-97.494335,5,33.900002
1568580952,35.405226,-97.494237,5,33.279999
1568580953,35.405524,-97.494138,5,32.939999
1568580954,35.405805,-97.494033,5,32.869999
1568580955,35.406085,-97.493926,5,33.130001
1568580956,35.406366,-97.493814,5,32.349998
1568580957,35.406654,-97.493701,5,32.369999
1568580958,35.406928,-97.493599,5,32.389999
1568580959,35.407201,-97.493495,5,32.330002
1568580960,35.407485,-97.493382,5,32.209999
1568580961,35.407787,-97.493279,5,32.09
1568580962,35.408055,-97.493173,5,31.76
1568580963,35.408323,-97.493072,5,31.610001
1568580964,35.408587,-97.492964,5,31.360001
1568580965,35.408859,-97.492859,5,30.65
1568580966,35.409137,-97.492759,5,30.950001
1568580967,35.409389,-97.492655,5,30.969999
1568580968,35.409638,-97.492556,5,29.719999
1568580969,35.409901,-97.492454,5,31.15
1568580970,35.410191,-97.492338,5,31.76
1568580971,35.410474,-97.492234,5,32.060001
1568580972,35.410753,-97.49213,5,32.580002
1568580973,35.411016,-97.492022,5,32.860001
1568580974,35.411292,-97.491914,5,32.77
1568580975,35.411569,-97.491803,5,32.900002
1568580976,35.411857,-97.4917,5,33.009998
1568580977,35.412129,-97.491594,5,32.799999
1568580978,35.412413,-97.491474,5,33
1568580979,35.412698,-97.491362,5,32.93
1568580980,35.412983,-97.491254,5,33.150002
1568580981,35.413266,-97.491144,5,32.799999
1568580982,35.413546,-97.491034,5,32.91
1568580983,35.413833,-97.490931,5,33.18
1568580984,35.414119,-97.490821,5,33.169998
1568580985,35.414386,-97.490714,5,32.66
1568580986,35.414698,-97.490604,5,33.599998
1568580987,35.414997,-97.490501,5,33.689999
1568580988,35.415274,-97.490394,5,33.450001
1568580989,35.415572,-97.49029,5,33.18
1568580990,35.415856,-97.490173,5,33.189999
1568580991,35.416139,-97.490058,5,33.630001
1568580992,35.416446,-97.48995,5,33.950001
1568580993,35.416748,-97.489836,5,34.080002
1568580994,35.417043,-97.489719,5,34.439999
1568580995,35.417312,-97.48961,5,34.630001
1568580996,35.417603,-97.48949,5,35.139999
1568580997,35.417914,-97.489378,5,35.580002
1568580998,35.418228,-97.489265,5,36.200001
1568580999,35.418548,-97.489146,5,36.66
1568581000,35.418864,-97.489022,5,37.110001
1568581001,35.419187,-97.488904,5,37.529999
1568581002,35.419509,-97.488778,5,37.93
1568581003,35.419823,-97.488643,5,37.630001
1568581004,35.420153,-97.488486,5,37.290001
1568581005,35.420451,-97.488335,5,36.720001
1568581006,35.420769,-97.488174,5,36.369999
1568581007,35.421067,-97.488021,5,36.080002
1568581008,35.421364,-97.487875,5,35.560001
1568581009,35.42165,-97.487735,5,35.240002
