time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
1564073577,35.19421205,-97.42333039,277,9.470006,3,317,-1.883,1.453,9.69,0
1564073578,35.19423353,-97.42341471,281.2,8.241754,3,316,-1.302,1.395,9.677,0
1564073579,35.19424471,-97.42348319,283.5,6.440629,3,318,-1.234,1.255,9.655,0
1564073580,35.1942583,-97.42353357,284.7,4.691535,3,318,-1.851,1.095,9.423,0
1564073581,35.19426826,-97.42357237,285.3,3.651972,3,318,-1.423,1.093,9.73,0
1564073582,35.19427569,-97.42359809,286.4,2.2105656,3,318,-1.535,1.061,9.69,0
1564073583,35.19427569,-97.42359809,286.4,2.2105656,3,318,-2.57,0.908,9.421,0
1564073584,35.19427569,-97.42359809,286.4,2.2105656,3,318,-2.901,0.868,9.292,0
1564073585,35.19427569,-97.42359809,286.4,2.2105656,3,318,-2.952,0.867,9.261,0
1564073586,35.19427569,-97.42359809,286.4,2.2105656,3,318,-2.965,0.863,9.252,1
1564073587,35.19427569,-97.42359809,286.4,2.2105656,3,318,-2.964,0.869,9.261,1
1564073588,35.19427569,-97.42359809,286.4,2.2105656,3,318,-2.965,0.878,9.278,1
1564073589,35.19427569,-97.42359809,286.4,2.2105656,3,318,-2.958,0.868,9.278,1
1564073590,35.19427332,-97.42358721,0,0,3,321,-2.968,0.868,9.28,1
1564073591,35.19427332,-97.42358721,0,0,3,321,-2.967,0.871,9.251,1
1564073592,35.19427332,-97.42358721,0,0,3,321,-2.964,0.869,9.264,1
1564073593,35.19427332,-97.42358721,0,0,3,321,-2.966,0.874,9.246,1
1564073594,35.19427332,-97.42358721,0,0,3,321,-2.963,0.868,9.253,1
1564073595,35.19427332,-97.42358721,0,0,3,321,-2.959,0.864,9.291,1
1564073596,35.19427332,-97.42358721,0,0,3,321,-2.967,0.864,9.249,1
1564073597,35.19427332,-97.42358721,0,0,3,321,-2.958,0.864,9.253,1
1564073598,35.19427332,-97.42358721,0,0,3,321,-2.959,0.864,9.251,1
1564073599,35.19427332,-97.42358721,0,0,3,321,-2.956,0.876,9.252,1
1564073600,35.19427332,-97.42358721,0,0,3,321,-2.963,0.865,9.269,1
1564073602,35.19427332,-97.42358721,0,0,3,321,-3.27,0.818,9.182,1
1564073603,35.19427825,-97.42359823,284.5,0.41,3,321,-3.23,0.815,9.186,1
1564073604,35.19427825,-97.42359823,284.5,0.41,3,321,-3.202,0.839,9.143,1
1564073605,35.19428001,-97.42361758,285,0.9702062,3,322,-3.077,0.912,9.192,1
1564073606,35.19428449,-97.42362772,285.1,1.0700468,3,322,-2.564,1.068,9.364,1
1564073607,35.19428449,-97.42362772,285.1,1.0700468,3,322,-6.309,0.796,8.887,0
1564073608,35.19429246,-97.4236597,288.7,2.2917678,3,322,-5.42,0.394,8.583,0
1564073609,35.19430147,-97.42369437,287.1,3.5301275,3,321,-5.645,2.06,8.468,0
1564073610,35.19435085,-97.42374559,321.4,5.9019065,3,321,-5.878,3.319,8.384,0
1564073611,35.19440255,-97.42377027,336.4,6.150521,3,321,-5.982,0.483,8.403,0
1564073612,35.19448107,-97.42378653,348.6,7.541492,3,321,-5.181,-0.826,8.377,0
1564073613,35.19456307,-97.42376974,1.4,8.400053,4,321,-4.959,-1.115,8.665,0
1564073614,35.19467711,-97.42372068,12.6,10.730116,4,321,-4.463,-0.861,8.345,0
1564073615,35.19484611,-97.42366665,12.7,14.660412,4,321,-3.982,-0.817,8.116,0
1564073616,35.19499785,-97.42362868,10.7,16.090311,4,322,-4.058,-1.296,8.612,0
1564073617,35.19516522,-97.42359567,9.5,17.750181,3,322,-3.34,-1.158,8.159,0
1564073618,35.1953303,-97.42357956,5.8,18.370045,3,323,-3.489,-1.259,8.516,0
1564073619,35.1955134,-97.42355456,4.6,18.96,3,323,-3.371,-0.835,9.493,0
1564073620,35.19572858,-97.42351687,3.6,20.400793,3,323,-2.924,-0.435,8.554,0
1564073621,35.19591469,-97.42351468,1.8,20.770119,4,322,-3.378,-0.382,9.13,0
1564073622,35.19611232,-97.42349959,1.7,21.200237,5,323,-3.409,-0.646,9.238,0
1564073623,35.1963117,-97.42348753,2.3,21.31015,5,323,-3.08,-0.838,9.158,0
1564073624,35.19650515,-97.42350174,0,21.08002,4,324,-3.105,-0.916,9.102,0
1564073625,35.19669589,-97.42354504,357.8,21.020193,3,325,-3.4,-0.589,8.839,0
1564073626,35.19688896,-97.42355502,357.3,21.170153,3,325,-3.609,-0.138,8.891,0
1564073627,35.19708419,-97.42355625,357.8,21.470524,3,325,-3.15,0.065,8.69,1
1564073628,35.19728122,-97.42357424,357.8,21.780518,3,325,-2.832,-0.203,9.044,1
1564073629,35.19764308,-97.42360134,359.2,20.601398,3,328,-2.711,-0.03,9.277,1
1564073630,35.1978199,-97.42359854,359.7,20.221306,4,328,-2.976,-0.406,9.071,1
1564073631,35.19797198,-97.42360391,359,19.490309,4,328,-3.025,-0.365,8.963,1
1564073632,35.1981489,-97.42360487,359.6,19.600737,4,329,-2.985,-0.329,9.114,1
1564073633,35.19832603,-97.42360852,359.8,19.440744,4,329,-2.924,-0.334,8.894,1
1564073634,35.19849689,-97.42360546,359.7,19.290508,4,329,-2.784,-0.293,8.99,1
1564073635,35.19866696,-97.42360949,359.5,19.020515,4,329,-2.902,-0.385,9.053,1
1564073636,35.19884794,-97.42358779,359.4,18.790268,4,328,-3.002,-0.309,8.809,1
1564073638,35.19901963,-97.42358472,359.7,18.730131,4,328,-3.21,-0.502,9.074,1
1564073639,35.19919289,-97.42358032,359.7,18.840042,4,327,-3.239,-0.584,8.95,1
1564073640,35.19937039,-97.42358644,359.7,19.120094,4,328,-3.315,-0.552,8.931,1
1564073641,35.19955216,-97.42359304,359.5,19.310165,4,328,-3.356,-0.541,9.107,1
1564073642,35.19972452,-97.42359329,359.7,19.430164,5,327,-3.028,-0.362,9.173,1
1564073643,35.19989774,-97.42358957,0,19.590126,5,326,-2.897,-0.526,9.014,1
1564073644,35.20007815,-97.42359971,359.4,19.720125,5,327,-2.881,-0.363,8.974,1
1564073645,35.20024837,-97.42361547,359.3,19.320312,4,328,-2.821,-0.334,8.929,1
1564073646,35.2004326,-97.4236146,359,19.220375,4,328,-3.009,-0.327,9.141,1
1564073647,35.20062263,-97.4235969,359,19.100067,5,325,-2.957,-0.316,9.214,1
1564073648,35.20078302,-97.42359581,359.2,18.780067,10,324,-2.91,-0.323,9.075,1
1564073649,35.2009564,-97.42359918,359.2,18.680098,10,325,-2.83,-0.208,9.153,1
1564073650,35.20112837,-97.42361343,358.9,18.580132,10,326,-2.869,-0.307,9.233,1
1564073651,35.20128892,-97.42360226,359.2,18.160135,10,325,-2.719,-0.187,8.957,1
1564073652,35.20144044,-97.42360063,359.3,17.770102,10,326,-2.789,-0.439,9.156,1
1564073653,35.20159419,-97.42360626,358.9,17.470024,10,326,-2.772,-0.259,9.308,1
1564073654,35.20175183,-97.42362119,358.1,17.33,10,325,-2.781,0.013,8.965,1
1564073655,35.20190574,-97.42362861,358.8,17.07,10,324,-3.1,-0.156,9.422,0
1564073656,35.20207212,-97.42365886,358.8,17.12,10,324,-2.767,-0.31,9.755,0
1564073657,35.20219944,-97.42362905,1.2,16.360027,9,324,-2.62,-0.591,9.356,0
1564073658,35.20233412,-97.42362762,0.9,15.94,9,323,-2.764,-0.533,8.862,0
1564073659,35.20248458,-97.42364041,359.7,15.9,9,323,-2.819,-0.379,9.316,0
1564073660,35.2026196,-97.42364823,359.7,15.550004,10,322,-1.859,0.153,9.366,0
1564073661,35.2027457,-97.42364645,0.1,15.01,10,322,-1.673,0.314,9.918,0
1564073662,35.20287778,-97.42365314,358.9,14.460087,10,322,-2.199,0.169,9.077,0
1564073663,35.20295833,-97.42365869,358.3,12.001504,10,321,-2.837,-0.255,9.081,0
1564073664,35.20304949,-97.42364466,0.7,11.200754,9,320,-2.856,-0.265,9.354,0
1564073665,35.20312379,-97.42362921,0.6,10.340392,9,321,-2.224,-0.234,9.18,0
1564073666,35.20329049,-97.42362203,0.2,8.530287,9,321,-1.587,0.425,9.775,0
1564073667,35.20333591,-97.42361214,359.9,6.6814666,9,323,-1.509,0.421,9.689,0
1564073668,35.20336795,-97.42361798,352.5,5.3707542,10,322,-1.851,0.267,9.642,0
1564073669,35.20339207,-97.4236003,359.5,3.6119938,10,322,-1.986,0.222,9.561,1
1564073670,35.20342101,-97.4236095,351.7,2.5756164,10,322,-2.115,0.154,9.345,1
1564073671,35.20342852,-97.42360282,358.6,1.0989541,9,322,-2.287,0.051,9.318,1
1564073673,35.20343407,-97.42358161,0,0,10,321,-2.996,-0.313,9.211,1
1564073674,35.20343407,-97.42358161,0,0,10,321,-3.358,-0.379,9.049,1
1564073675,35.20342678,-97.42356922,0,0,9,322,-3.155,-0.403,9.082,1
1564073676,35.20342678,-97.42356922,0,0,9,322,-3.127,-0.404,9.098,1
1564073677,35.20342678,-97.42356922,0,0,9,322,-3.725,-0.508,10.439,0
1564073678,35.20341591,-97.42356039,0,0,9,323,-3.185,-0.446,9.253,0
1564073679,35.20341591,-97.42356039,0,0,9,323,-3.12,-0.434,9.114,0
1564073680,35.20341591,-97.42356039,0,0,9,323,-3.107,-0.439,9.075,0
1564073681,35.20341591,-97.42356039,0,0,9,323,-3.102,-0.432,9.095,0
1564073682,35.20341591,-97.42356039,0,0,9,323,-3.107,-0.437,9.081,0
1564073683,35.20340731,-97.42355546,0,0,9,323,-3.104,-0.438,9.064,0
1564073684,35.20340731,-97.42355546,0,0,9,323,-3.11,-0.442,9.052,0
1564073685,35.20340731,-97.42355546,0,0,9,323,-3.104,-0.441,9.086,1
1564073686,35.20340731,-97.42355546,0,0,9,323,-3.104,-0.438,9.069,1
1564073687,35.20340731,-97.42355546,0,0,9,323,-3.101,-0.443,9.075,1
1564073688,35.20340731,-97.42355546,0,0,9,323,-3.108,-0.427,9.062,1
1564073689,35.20340731,-97.42355546,0,0,9,323,-3.109,-0.44,9.091,1
1564073690,35.20340731,-97.42355546,0,0,9,323,-3.107,-0.427,9.058,1
1564073691,35.20340731,-97.42355546,0,0,9,323,-3.112,-0.442,9.06,1
1564073692,35.20340731,-97.42355546,0,0,9,323,-3.112,-0.44,9.077,1
1564073693,35.20340731,-97.42355546,0,0,9,323,-3.107,-0.431,9.052,1
1564073694,35.20340731,-97.42355546,0,0,9,323,-3.117,-0.444,9.074,1
1564073695,35.20340731,-97.42355546,0,0,9,323,-3.109,-0.435,9.07,1
1564073696,35.20340731,-97.42355546,0,0,9,323,-3.112,-0.438,9.056,1
1564073697,35.20340731,-97.42355546,0,0,9,323,-3.109,-0.43,9.073,1
1564073698,35.20340731,-97.42355546,0,0,9,323,-3.112,-0.438,9.04,1
1564073699,35.20340731,-97.42355546,0,0,9,323,-3.103,-0.436,9.079,1
1564073700,35.20340731,-97.42355546,0,0,9,323,-3.109,-0.437,9.077,1
1564073701,35.20340731,-97.42355546,0,0,9,323,-3.114,-0.438,9.055,1
1564073702,35.20340731,-97.42355546,0,0,9,323,-3.104,-0.45,9.08,1
1564073703,35.20340731,-97.42355546,0,0,9,323,-3.106,-0.432,9.058,1
1564073704,35.20340731,-97.42355546,0,0,9,323,-3.108,-0.446,9.074,1
1564073705,35.20340731,-97.42355546,0,0,9,323,-3.1,-0.433,9.092,1
1564073706,35.20340731,-97.42355546,0,0,9,323,-3.113,-0.442,9.078,1
1564073707,35.20340731,-97.42355546,0,0,9,323,-3.1,-0.432,9.076,1
1564073708,35.20340731,-97.42355546,0,0,9,323,-3.1,-0.442,9.072,1
1564073709,35.20340731,-97.42355546,0,0,9,323,-3.099,-0.425,9.072,1
1564073710,35.20340731,-97.42355546,0,0,9,323,-3.107,-0.443,9.065,1
1564073711,35.20340731,-97.42355546,0,0,9,323,-3.094,-0.428,9.059,1
1564073712,35.20340731,-97.42355546,0,0,9,323,-3.11,-0.452,9.078,1
1564073714,35.20340731,-97.42355546,0,0,9,323,-3.097,-0.437,9.064,1
1564073715,35.20340731,-97.42355546,0,0,9,323,-3.104,-0.436,9.071,1
1564073716,35.20340731,-97.42355546,0,0,9,323,-3.09,-0.437,9.079,1
1564073717,35.20340731,-97.42355546,0,0,9,323,-3.11,-0.454,9.068,1
1564073718,35.20340731,-97.42355546,0,0,9,323,-3.115,-0.451,9.072,1
1564073719,35.20340731,-97.42355546,0,0,9,323,-3.104,-0.444,9.075,1
1564073720,35.20340731,-97.42355546,0,0,9,323,-3.106,-0.437,9.067,1
1564073721,35.20340731,-97.42355546,0,0,9,323,-3.102,-0.443,9.074,1
1564073722,35.20340731,-97.42355546,0,0,9,323,-3.09,-0.42,9.131,1
1564073723,35.20340731,-97.42355546,0,0,9,323,-3.077,-0.445,9.062,1
1564073724,35.20340731,-97.42355546,0,0,9,323,-3.107,-0.454,9.091,1
1564073725,35.20340731,-97.42355546,0,0,9,323,-3.106,-0.448,9.082,1
1564073726,35.20340731,-97.42355546,0,0,9,323,-3.117,-0.435,9.085,1
1564073727,35.20340731,-97.42355546,0,0,9,323,-3.107,-0.426,9.094,1
1564073728,35.20340731,-97.42355546,0,0,9,323,-3.303,-0.549,9.024,1
1564073729,35.20340731,-97.42355546,0,0,9,323,-3.399,-0.612,8.904,1
1564073730,35.20340731,-97.42355546,0,0,9,323,-4.165,-1.026,8.702,1
1564073731,35.20342912,-97.42356544,0.1,1.3300377,9,324,-4.508,-1.264,8.472,1
1564073732,35.20345546,-97.42356129,357.3,2.770018,9,325,-4.601,-1.318,8.46,1
1564073733,35.20350412,-97.42354422,359.6,4.690171,9,324,-4.314,-1.171,8.293,1
1564073734,35.20355093,-97.42354295,358.6,5.1204786,9,323,-4.398,-1.032,8.707,1
1564073735,35.20362447,-97.42354113,359.5,7.410168,9,324,-4.457,-0.873,9.003,0
1564073736,35.20370111,-97.4235505,359.3,8.480053,9,324,-4.186,-0.712,8.668,0
1564073737,35.20379345,-97.42355561,0,9.710083,9,324,-4.092,-0.581,8.827,0
1564073738,35.20389308,-97.4235562,0.6,10.580076,9,324,-3.983,-0.901,8.798,0
1564073739,35.20400176,-97.4235583,359.7,11.880038,9,324,-3.679,-0.708,9.024,0
1564073740,35.20412363,-97.4235586,0,12.780191,9,326,-3.537,-0.632,8.991,0
1564073741,35.2042413,-97.42356204,359.5,13.430094,9,325,-3.643,-0.793,8.669,0
1564073742,35.20436861,-97.42356085,359.3,14.070088,9,326,-3.229,-0.561,8.808,0
1564073743,35.20449495,-97.42356331,359.2,14.620493,9,326,-3.309,-0.451,8.775,0
1564073744,35.20477138,-97.42356757,359.2,15.420262,9,326,-3.464,-0.677,9.234,0
1564073745,35.20491509,-97.42356191,359.2,15.830029,9,326,-3.656,-0.713,8.69,0
1564073746,35.20506947,-97.42357329,358.6,16.420076,9,326,-3.704,-1.101,8.691,1
1564073747,35.20521455,-97.42357839,358.6,17.090237,9,326,-3.175,-0.804,9.246,1
1564073748,35.20537851,-97.42357585,358.8,17.370104,9,326,-3.066,-0.679,9.313,1
1564073749,35.20553094,-97.4235813,358.6,17.290047,9,326,-3.26,-0.714,9.097,0
1564073750,35.20569317,-97.42357005,359,17.59007,9,326,-3.627,-0.541,9.472,0
1564073751,35.20585754,-97.42356782,358.8,17.920137,10,326,-2.99,-0.397,8.759,0
1564073752,35.206034,-97.4235681,359,18.240175,10,326,-3.165,-0.244,8.808,0
1564073753,35.20620335,-97.42357407,359.2,18.390327,9,326,-3.378,-0.684,9.397,0
1564073755,35.20637531,-97.42358061,359.3,18.650131,9,326,-3.512,-0.619,9.064,0
1564073756,35.20655479,-97.42357775,359.5,19.010317,9,327,-3.456,-0.466,9.028,0
1564073757,35.20673028,-97.42358997,0.1,19.220314,9,328,-2.932,-0.413,9.145,0
1564073758,35.20689986,-97.42358063,359.6,19.08059,9,328,-2.755,-0.318,9.058,0
1564073759,35.20705424,-97.42358894,0,18.64001,9,327,-2.983,-0.55,9.222,0
1564073760,35.20721528,-97.42358943,359.9,18.57001,9,327,-3.061,-0.462,9.021,0
1564073761,35.20739456,-97.42358677,0,18.790173,9,327,-2.975,-0.41,8.99,0
1564073762,35.20756646,-97.42359361,0,18.820265,9,326,-2.979,-0.342,9.142,1
1564073763,35.20771835,-97.42360568,359.9,18.640066,9,326,-3.062,-0.496,9.024,1
1564073764,35.20789425,-97.4236083,0.1,18.81017,9,327,-3.126,-0.487,9.095,1
1564073765,35.20806646,-97.42360553,0.1,18.870266,9,328,-3.091,-0.382,9.144,1
1564073766,35.20823512,-97.42360919,0.1,18.90017,9,328,-3.236,-0.568,8.632,1
1564073767,35.20841211,-97.42361089,0,19.080065,9,329,-3.318,-0.593,8.951,1
1564073768,35.20858785,-97.42361278,359.9,19.27001,9,329,-3.363,-0.725,8.949,1
1564073769,35.20877081,-97.4236148,0.1,19.690254,9,330,-3.167,-0.553,8.981,1
1564073770,35.20895959,-97.42361342,0,20.05056,9,332,-2.868,-0.379,9.186,1
1564073771,35.20912752,-97.4236164,0,19.810251,9,332,-2.718,-0.272,9.096,1
1564073772,35.20931037,-97.42360475,0,19.610432,9,330,-2.687,-0.394,9.086,1
1564073773,35.20949082,-97.42359883,0.3,19.310312,9,332,-2.777,-0.306,9.307,1
1564073774,35.20965734,-97.42360255,359.9,18.800022,9,332,-2.75,-0.234,9.268,1
1564073775,35.20982503,-97.4236001,359.9,18.290176,9,333,-3.026,-0.449,9.08,1
1564073776,35.20999784,-97.42361044,0,18.140465,9,332,-3.097,-0.392,9.089,1
1564073777,35.21014313,-97.42360995,0.4,18.050276,9,332,-2.971,-0.259,9.207,1
1564073778,35.2102996,-97.42360865,0.9,17.87018,9,332,-2.843,-0.356,9.234,1
1564073779,35.21045454,-97.42360369,1.1,17.56007,9,332,-2.743,-0.238,9.122,1
1564073780,35.21061503,-97.42359492,1.2,17.360046,9,332,-2.72,-0.388,9.165,1
1564073781,35.21076941,-97.42358226,1.2,17.000046,9,331,-2.699,-0.288,8.999,1
1564073782,35.2109171,-97.42358055,0.9,16.670027,9,331,-2.695,-0.244,9.196,1
1564073783,35.21106298,-97.4235713,0.8,16.540049,9,331,-2.716,-0.302,9.125,1
1564073784,35.21120866,-97.4235856,359,16.231773,9,330,-2.747,-0.287,8.857,1
1564073785,35.21135619,-97.42358808,359.3,15.780316,9,330,-2.654,-0.142,9.179,1
1564073786,35.21149648,-97.4235862,359.8,15.530157,9,330,-3.355,-0.479,9.241,1
1564073787,35.21163778,-97.42358354,0.3,15.610051,9,330,-3.29,-0.656,9.102,1
1564073788,35.21177944,-97.42358746,0,15.890029,9,330,-3.5,-0.9,9.035,1
1564073789,35.21191575,-97.42358971,359.8,16.34015,9,331,-3.455,-0.818,8.956,1
1564073790,35.21206536,-97.42359074,359.7,17.110025,9,330,-3.264,-0.456,8.873,1
1564073791,35.2123894,-97.42358936,359.7,17.72001,9,331,-3.243,-0.573,8.811,1
1564073792,35.21255212,-97.42359173,0.1,17.99007,9,330,-3.289,-0.478,8.977,1
1564073793,35.21272068,-97.4235878,0,18.44007,9,330,-3.212,-0.552,9.193,1
1564073794,35.21289471,-97.42357624,0.1,18.850023,9,330,-3.097,-0.549,9.12,1
1564073795,35.21305077,-97.42358606,359.7,18.980066,9,329,-3.089,-0.481,9.158,1
1564073796,35.21322728,-97.42358512,359.9,19.120003,9,329,-2.976,-0.285,9.104,1
1564073797,35.21340659,-97.42358582,0,19.190042,9,329,-2.754,-0.223,9.165,1
1564073798,35.21358034,-97.42357503,0.2,19.16,9,329,-2.853,-0.368,8.686,1
1564073799,35.21374917,-97.4235881,359.9,19.01001,9,329,-2.827,-0.508,8.964,1
1564073800,35.21393218,-97.42357396,0.2,19.140093,9,329,-3.026,-0.677,9.281,1
1564073801,35.21409627,-97.42356848,359.9,18.940096,9,329,-3.044,-0.538,9.033,1
1564073802,35.21427519,-97.42356862,359.8,18.980446,9,330,-2.97,-0.452,9.015,1
1564073804,35.21444868,-97.42356365,359.9,18.880447,9,330,-3.067,-0.463,9.023,1
1564073805,35.21461913,-97.42356375,0,18.860266,9,330,-3.142,-0.496,8.863,1
1564073806,35.2147919,-97.42355806,0.1,18.970263,9,331,-3.029,-0.449,8.696,1
1564073807,35.21496069,-97.42356551,359.9,19.000042,9,331,-3.069,-0.394,8.924,1
1564073808,35.21511489,-97.42357375,359.6,18.960129,9,330,-3.087,-0.506,9.033,1
1564073809,35.21530105,-97.42356741,0.1,19.420023,9,330,-2.786,-0.289,9.172,1
1564073810,35.21548539,-97.42357104,0.6,19.51,9,330,-2.789,-0.229,9.29,1
1564073811,35.21565841,-97.42357237,0.5,19.150064,9,330,-2.935,-0.443,9.239,1
1564073812,35.2158397,-97.42356846,0.5,19.23001,9,330,-2.993,-0.571,9.137,1
1564073813,35.21600403,-97.42356473,0.2,19.2,9,330,-3.028,-0.564,9.191,1
1564073814,35.21616855,-97.42356441,0,19.190002,9,329,-2.817,-0.282,9.211,1
1564073815,35.21632918,-97.42356393,0,18.96001,9,329,-2.966,-0.334,8.949,1
1564073816,35.21649984,-97.42356452,359.8,18.87017,9,329,-3.056,-0.329,8.989,1
1564073817,35.2166627,-97.42356639,359.9,18.740171,9,329,-2.997,-0.201,9.427,1
1564073818,35.21683013,-97.42356662,0.1,18.420273,9,330,-3.007,-0.356,10.207,0
1564073819,35.21699588,-97.42356712,0.3,17.980278,9,329,-2.797,0.044,8.972,0
1564073820,35.21715196,-97.42356877,0.4,17.520346,9,330,-2.129,-0.372,9.721,0
1564073821,35.21730537,-97.42356638,0.6,17.010424,9,330,-1.847,0.674,9.869,0
1564073822,35.21744439,-97.42356355,0.4,15.210645,9,330,-1.493,0.815,9.957,0
1564073823,35.21755668,-97.42356919,359.9,12.840471,9,331,-1.201,0.692,9.748,0
1564073824,35.21765321,-97.42355959,359.9,10.490305,9,330,-2.676,-0.263,9.102,0
